"species","model","cv","COR","ROC","PRG"
"awt01","BRT-stump","spatial",0.268275308480995,0.668916549789622,0.419739296988017
"awt01","BRT-stump","random",0.290657150655344,0.696704067321179,0.514891231476666
"awt01","MaxEnt-LQP","spatial",0.229597649021648,0.649850981767184,0.416481879150838
"awt01","MaxEnt-LQP","random",0.252638117819582,0.668215287517533,0.459763061057323
"awt02","BRT-stump","spatial",0.572850650887324,0.748348530901726,0.731135839493963
"awt02","BRT-stump","random",0.599974903441708,0.821215805471125,0.813547171826345
"awt02","MaxEnt-LQP","spatial",0.577701989035588,0.786504559270516,0.786397837041289
"awt02","MaxEnt-LQP","random",0.595150388667335,0.835744680851068,0.832782905261796
"awt03","BRT-stump","spatial",0.130036465262645,0.59148021602557,0.218356620782857
"awt03","BRT-stump","random",0.149158091313763,0.571604393989489,0.143409212340544
"awt03","MaxEnt-LQP","spatial",0.100432415289859,0.557698666372754,0.145671955297147
"awt03","MaxEnt-LQP","random",0.146050925078461,0.555384106690178,0.123989483562241
"awt04","BRT-stump","spatial",0.0346658284823317,0.527350813743218,0.0833215147727168
"awt04","BRT-stump","random",-0.0780787112296489,0.475744192516343,-0.121214031733486
"awt04","MaxEnt-LQP","spatial",0.074142317830663,0.542982334121576,0.0439205251610117
"awt04","MaxEnt-LQP","random",-0.0501866617858828,0.488524134093754,-0.0726617017582173
"awt05","BRT-stump","spatial",0.114915041608792,0.606237745987947,0.362842188804274
"awt05","BRT-stump","random",0.220348156972351,0.679144579188149,0.348565568952612
"awt05","MaxEnt-LQP","spatial",0.0702500190836057,0.545639387117857,0.184498393077285
"awt05","MaxEnt-LQP","random",0.251314973041454,0.717740178636262,0.444367901322215
"awt06","BRT-stump","spatial",0.42785978206666,0.735521302995356,0.510770017664879
"awt06","BRT-stump","random",0.491118104323381,0.758274789416659,0.542835307755211
"awt06","MaxEnt-LQP","spatial",0.532325411936778,0.815875013106857,0.637293145220593
"awt06","MaxEnt-LQP","random",0.575251336995067,0.82216629967496,0.620525302417037
"awt07","BRT-stump","spatial",0.128598330924125,0.578244911578244,0.110567057913225
"awt07","BRT-stump","random",0.156131316623048,0.587182420515752,0.160577000055744
"awt07","MaxEnt-LQP","spatial",0.0560423614390375,0.517088517088515,-0.0345659449803176
"awt07","MaxEnt-LQP","random",0.122303426002891,0.564802898136231,0.13911444323377
"awt08","BRT-stump","spatial",0.680392896581148,0.87251447269066,0.852064210264371
"awt08","BRT-stump","random",0.721519212957531,0.926953363776924,0.899587314725672
"awt08","MaxEnt-LQP","spatial",0.657123287059943,0.878177699471432,0.840971400926025
"awt08","MaxEnt-LQP","random",0.681894930688962,0.888749056128876,0.864513253057871
"awt09","BRT-stump","spatial",0.0554514845857998,0.569912747707777,0.0484194612324975
"awt09","BRT-stump","random",0.206238415006573,0.679384797397218,0.599503389266276
"awt09","MaxEnt-LQP","spatial",0.192972520933949,0.671916592724045,0.667166676146556
"awt09","MaxEnt-LQP","random",0.262185785587917,0.712954747116235,0.683281788341646
"awt10","BRT-stump","spatial",0.201670417431522,0.62584445542923,0.221860867122947
"awt10","BRT-stump","random",0.25481041580895,0.653155379798981,0.349120915981776
"awt10","MaxEnt-LQP","spatial",0.108052349532462,0.56928653814467,0.22488519904623
"awt10","MaxEnt-LQP","random",0.281954559810064,0.67844784972813,0.442736649937794
"awt11","BRT-stump","spatial",0.0534603263944195,0.588920254057866,0.399888859084053
"awt11","BRT-stump","random",0.0643622087064222,0.586097388849679,0.614835230747732
"awt11","MaxEnt-LQP","spatial",0.0497432982789742,0.558456833686193,0.377791290501081
"awt11","MaxEnt-LQP","random",0.0381877986575559,0.559397788755585,0.110116601068656
"awt12","BRT-stump","spatial",0.25591298359029,0.839409722222223,0.595249281492783
"awt12","BRT-stump","random",0.222157781223386,0.783661265432099,0.476150862244274
"awt12","MaxEnt-LQP","spatial",0.243970671511871,0.815972222222222,0.756964454892754
"awt12","MaxEnt-LQP","random",0.272808142895115,0.858603395061728,0.632060043385242
"awt13","BRT-stump","spatial",0.437871811602436,0.782357060471248,0.654883376836737
"awt13","BRT-stump","random",0.416682812825076,0.763346515076623,0.579000081484934
"awt13","MaxEnt-LQP","spatial",0.341314308262832,0.709630911188009,0.605451088363909
"awt13","MaxEnt-LQP","random",0.398696004763879,0.765364969517225,0.641260440505137
"awt14","BRT-stump","spatial",0.467331847905425,0.855216783216775,0.896444661013163
"awt14","BRT-stump","random",0.501712635189829,0.903384615384613,0.925916916671159
"awt14","MaxEnt-LQP","spatial",0.528455908411183,0.838993006993005,0.909979654543992
"awt14","MaxEnt-LQP","random",0.59509059905343,0.890797202797203,0.956043136934602
"awt15","BRT-stump","spatial",0.442827004777426,0.712487019730014,0.451608978428844
"awt15","BRT-stump","random",0.499858381660492,0.751001335113483,0.516765276214604
"awt15","MaxEnt-LQP","spatial",0.311072508783611,0.68591455273698,0.294408329668456
"awt15","MaxEnt-LQP","random",0.47671535090584,0.767949859071354,0.51211990117243
"awt16","BRT-stump","spatial",0.247478706182109,0.700888813405798,0.597716481428313
"awt16","BRT-stump","random",0.223717103955101,0.676828577898549,0.399730834915216
"awt16","MaxEnt-LQP","spatial",0.449116900103975,0.812952898550724,0.815277716697999
"awt16","MaxEnt-LQP","random",0.374223401961177,0.792855525362317,0.829426085099567
"awt17","BRT-stump","spatial",0.414323262696722,0.76805538486747,0.611255401560768
"awt17","BRT-stump","random",0.469563451939001,0.80865183728647,0.690093717029997
"awt17","MaxEnt-LQP","spatial",0.341094202385491,0.714391053213707,0.599589323748606
"awt17","MaxEnt-LQP","random",0.493661230722898,0.81582073655319,0.76592013251674
"awt18","BRT-stump","spatial",0.291623409757,0.67789723490705,0.325451695794291
"awt18","BRT-stump","random",0.29170538797205,0.679191686742659,0.407395575733854
"awt18","MaxEnt-LQP","spatial",0.319733711565388,0.695228506705977,0.465794450977219
"awt18","MaxEnt-LQP","random",0.378650249990991,0.728452770486499,0.50310680451728
"awt19","BRT-stump","spatial",0.251276691700493,0.676205842391305,0.378250398049171
"awt19","BRT-stump","random",0.243877541033394,0.67481884057971,0.396161464285364
"awt19","MaxEnt-LQP","spatial",0.265732203504162,0.699558423913044,0.445007867394258
"awt19","MaxEnt-LQP","random",0.304995374710286,0.729676177536232,0.590926358216631
"awt20","BRT-stump","spatial",-0.028551679462643,0.508581730769232,-0.0302585647251428
"awt20","BRT-stump","random",0.115708996882049,0.598317307692306,0.390789644936623
"awt20","MaxEnt-LQP","spatial",-0.0162086122250283,0.494326923076922,0.062476299340049
"awt20","MaxEnt-LQP","random",0.0364827311732447,0.525913461538462,-0.0189740284421358
"awt21","BRT-stump","spatial",0.424800169245401,0.772256097560977,0.576371721415895
"awt21","BRT-stump","random",0.492566480203121,0.825000000000001,0.770103928032624
"awt21","MaxEnt-LQP","spatial",0.42814424878763,0.795121951219515,0.722485991302673
"awt21","MaxEnt-LQP","random",0.458679039405242,0.808536585365856,0.771510263963271
"awt25","BRT-stump","spatial",0.280488054982856,0.681356837606839,0.379092136260175
"awt25","BRT-stump","random",0.318106577693699,0.681089743589744,0.326877944823775
"awt25","MaxEnt-LQP","spatial",0.234624901755954,0.654380341880343,0.291779875317178
"awt25","MaxEnt-LQP","random",0.302344743799506,0.682158119658121,0.329105302102892
"awt27","BRT-stump","spatial",0.221784397318942,0.678271604938266,0.435056597128828
