"","Region","Species","Group","PO","TGBs","Presence","Absence"
"1","AWT","awt01","Birds",178,714,92,248
"2","AWT","awt02","Birds",149,714,105,235
"3","AWT","awt03","Birds",219,714,129,211
"4","AWT","awt04","Birds",216,714,158,182
"5","AWT","awt05","Birds",114,714,47,293
"6","AWT","awt06","Birds",265,714,187,153
"7","AWT","awt07","Birds",158,714,81,259
"8","AWT","awt08","Birds",231,714,137,203
"9","AWT","awt09","Birds",112,714,46,294
"10","AWT","awt10","Birds",122,714,102,238
"11","AWT","awt11","Birds",82,714,13,327
"12","AWT","awt12","Birds",32,714,16,324
"13","AWT","awt13","Birds",122,714,102,238
"14","AWT","awt14","Birds",99,714,65,275
"15","AWT","awt15","Birds",254,714,214,126
"16","AWT","awt16","Birds",144,714,64,276
"17","AWT","awt17","Birds",184,714,103,237
"18","AWT","awt18","Birds",242,714,137,203
"19","AWT","awt19","Birds",78,714,64,276
"20","AWT","awt20","Birds",104,714,80,260
"21","AWT","awt21","Plants",17,379,20,82
"22","AWT","awt25","Plants",12,379,24,78
"23","AWT","awt27","Plants",41,379,27,75
"24","AWT","awt31","Plants",14,379,62,40
"25","AWT","awt33","Plants",18,379,24,78
"26","AWT","awt35","Plants",44,379,52,50
"27","AWT","awt36","Plants",56,379,51,51
"28","AWT","awt37","Plants",28,379,21,81
"29","AWT","awt38","Plants",42,379,16,86
"30","AWT","awt39","Plants",20,379,32,70
"31","CAN","can01","Birds",16,3298,230,14341
"32","CAN","can02","Birds",740,3298,2682,11889
"33","CAN","can03","Birds",165,3298,703,13868
"34","CAN","can04","Birds",42,3298,887,13684
"35","CAN","can05","Birds",138,3298,846,13725
"36","CAN","can06","Birds",27,3298,53,14518
"37","CAN","can07","Birds",221,3298,333,14238
"38","CAN","can08","Birds",322,3298,2600,11971
"39","CAN","can09","Birds",119,3298,163,14408
"40","CAN","can10","Birds",234,3298,1251,13320
"41","CAN","can11","Birds",478,3298,4512,10059
"42","CAN","can12","Birds",312,3298,2045,12526
"43","CAN","can13","Birds",39,3298,735,13836
"44","CAN","can14","Birds",18,3298,400,14171
"45","CAN","can15","Birds",721,3298,3025,11546
"46","CAN","can16","Birds",57,3298,316,14255
"47","CAN","can17","Birds",313,3298,2758,11813
"48","CAN","can18","Birds",612,3298,1184,13387
"49","CAN","can19","Birds",109,3298,24,14547
"50","CAN","can20","Birds",380,3298,893,13678
"51","NSW","nsw01","Bats",26,147,120,450
"52","NSW","nsw03","Bats",12,147,21,549
"53","NSW","nsw05","Bats",22,147,40,530
"54","NSW","nsw07","Bats",28,147,44,526
"55","NSW","nsw08","Diurnal birds",129,1351,20,682
"56","NSW","nsw09","Diurnal birds",426,1351,77,625
"57","NSW","nsw11","Diurnal birds",48,1351,19,683
"58","NSW","nsw12","Diurnal birds",139,1351,27,675
"59","NSW","nsw13","Diurnal birds",155,1351,25,677
"60","NSW","nsw14","Diurnal birds",315,1351,161,541
"61","NSW","nsw15","Diurnal birds",236,1351,123,579
"62","NSW","nsw16","Nocturnal birds",120,1351,143,994
"63","NSW","nsw17","Nocturnal birds",148,1351,141,996
"64","NSW","nsw18","Open-forest trees",69,569,440,1635
